item name,Title,version,item,frame,order,prompt,model,output_text,reasoning_effort,reasoning_summary
Emergency Damages,Emergency Damages I,unambiguous_uncovered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

The policy language explicitly covers loss or damage caused when first responders force entry ""because of an emergency or perceived emergency involving the policyholder."" Joanne called the police believing there was an emergency; the officers forced entry for that perceived emergency; the damage was a direct result. Even though the situation turned out to be the dogs playing, the policy's ""perceived emergency"" language makes her loss covered.",low,
Emergency Damages,Emergency Damages I,unambiguous_covered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

Reason: The policy covers damage caused when first responders force entry because of an emergency or perceived emergency involving the policyholder. Joanne called the police believing a break‑in (a perceived emergency involving her); officers forced entry to assess and then arrested the burglar. The forced entry and resulting damage were caused by first responders acting due to that perceived emergency, so the loss falls within the Emergency Damages coverage.",low,
Emergency Damages,Emergency Damages I,controversial,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

Reason: The policy expressly covers damage caused when first responders force entry because of an ""emergency or perceived emergency involving the policyholder."" Joanne called the police believing a burglary was occurring, which is a perceived emergency involving her. Even though the belief was mistaken, the plain wording covers perceived emergencies, so the forced-entry damage would be covered.",low,
Emergency Damages,Emergency Damages II,unambiguous_uncovered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Disagree.

The policy expressly limits coverage to damage caused when ""first responders"" force entry into the home because of an emergency involving the policyholder. Sam is a private citizen and an accountant, not a first responder (police, fire, EMT, etc.), so his forced entry does not fall within that defined class. Even though there was an emergency (a burglar), the plain language excludes damage caused by a non-first-responder’s entry, so the claim would not be covered.",low,
Emergency Damages,Emergency Damages II,unambiguous_covered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

Reasoning: The policy covers damage to contents caused when first responders force entry into the policyholder’s home because of an emergency involving the policyholder. Salma heard suspicious noises, reasonably believed there was an intruder, and called the police. The police made a forced entry to address an emergency involving Salma (an intruder in her home) and arrested the burglar. The forced entry directly caused damage to her contents, so the incident falls within the policy’s Emergency Damages definition.",low,
Emergency Damages,Emergency Damages II,controversial,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Disagree.

The policy covers damage only when a ""first responder"" forces entry ""because of an emergency involving the policyholder."" Sam, although a firefighter by profession, was off-duty and acting as a private friend — not operating in an official first-responder capacity. Because the forced entry was not made by a first responder acting in that role, the claim falls outside the policy’s defined Emergency Damages coverage.",low,
Escape of Oil,Escape of Oil I,unambiguous_uncovered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Disagree. The policy covers oil that leaks from a fixed oil-fired heating installation; Madison’s spill occurred while carrying kerosene and did not originate from a fixed heating installation, so it falls outside that defined coverage.",low,
Escape of Oil,Escape of Oil I,unambiguous_covered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

Reason: The policy covers damage from ""oil leaking from a fixed oil-fired heating installation."" Madison observed oil dripping from her heater (a fixed oil-fired heating installation) and the leaking oil damaged her hardwood floors, which falls squarely within the defined peril.",low,
Escape of Oil,Escape of Oil I,controversial,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

Reason: The policy covers ""oil leaking from a fixed oil‑fired heating installation."" Here oil rushed out of the fixed heater during the friend's repair attempt and damaged the floors — that is an oil leak from the fixed installation causing property damage, which fits the defined peril. No contrary exclusion is indicated in the facts.",low,
Escape of Oil,Escape of Oil II,unambiguous_uncovered,4,pos,ad,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. Select your response to the following statement: Mariam is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Disagree.

Reason: The policy specifically covers oil leaking from a ""fixed oil-fired heating installation."" A portable oil lamp is neither fixed nor an oil-fired heating installation (it’s a movable lighting device), so its leaking oil falls outside that defined peril. Therefore the damage would not be covered under that Escape of Oil provision.",low,
Escape of Oil,Escape of Oil II,unambiguous_covered,4,pos,ad,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. Select your response to the following statement: Mariam is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

Reason: The policy covers damage from ""oil leaking from a fixed oil-fired heating installation."" Mariam’s heater is a fixed oil-fired installation, it cracked and leaked oil onto the carpet, and that oil then caused damage to the floor. Those facts fall squarely within the policy's defined peril, so the loss should be covered.",low,
Escape of Oil,Escape of Oil II,controversial,4,pos,ad,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. Select your response to the following statement: Mariam is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Disagree.

Reason: The policy covers ""oil leaking from a fixed oil-fired heating installation."" A wall-mounted oil lamp is neither a fixed oil-fired heating installation nor an oil-fired heating device; it's a portable/lighting appliance. Because the loss does not fall within the specific defined peril (escape of oil from a fixed oil-fired heating installation), the insurer can deny coverage.",low,
Escape of Water,Escape of Water I,unambiguous_uncovered,5,pos,ad,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance."" Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall. Select your response to the following statement: Carol is covered by the Escape of Water policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Disagree.

Reason: the policy covers ""sudden"" escapes of water; a slow leak over several days is a gradual loss and is typically excluded as maintenance/gradual damage rather than a sudden, unforeseen event, so it would not meet the policy's definition.",low,
Escape of Water,Escape of Water I,unambiguous_covered,5,pos,ad,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance."" Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall. Select your response to the following statement: Carol is covered by the Escape of Water policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

The policy definition expressly covers ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe."" A suddenly burst pipe that severely damages the bathroom wall fits that definition, so the loss is covered (absent any specific exclusions or policy limits not mentioned).",low,
Escape of Water,Escape of Water I,controversial,5,pos,ad,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance."" Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall. Select your response to the following statement: Carol is covered by the Escape of Water policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

Reasoning: The policy covers damage caused by a sudden, unforeseen flow of water from an internal source (examples given: burst pipe). A pipe failure that begins suddenly and then leaks for several hours until repaired fits that definition—the harmful event was the sudden unintended escape of water from an internal pipe. (A continual slow leak caused by long-term deterioration, lack of maintenance, or gradual seepage is typically excluded, but that fact pattern is not described here.)",low,
Escape of Water,Escape of Water II,unambiguous_uncovered,6,pos,ad,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance."" Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage. Select your response to the following statement: Miranda is covered by the Escape of Water policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

The policy covers ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source."" Miranda’s leaking fishbowl was inside the house, began to leak unexpectedly, and that leak caused water to seep through the floor and damage walls. Those facts fit the plain policy wording (sudden, unforeseen internal water escape). 

Caveat: an insurer might try to rely on narrower clauses or exclusions (e.g., policies that limit coverage to plumbing/fixed installations or exclude damage from gradual leaks or from contents), but on the face of the provided definition Miranda’s loss is covered.",low,
Escape of Water,Escape of Water II,unambiguous_covered,6,pos,ad,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance."" Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage. Select your response to the following statement: Miranda is covered by the Escape of Water policy. Agree or Disagree? Final answer is:",gpt-5-mini-2025-08-07,"Agree.

The washing machine is an internal appliance and it began leaking unexpectedly, causing a sudden flow of water that damaged the building (floor and walls). That fits the policy definition of ""Escape of Water"" (damage from a sudden, unforeseen flow from an internal source such as a faulty appliance).",low,
