item name,Title,version,item,frame,order,prompt,model,output_text
Emergency Damages,Emergency Damages I,unambiguous_uncovered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.**

The police forced entry **because of a perceived emergency involving Joanne** (based on her frantic call reporting loud crashing noises in her home), and the resulting damage fits the policy’s definition of “Emergency Damages,” even though it later turned out there was no actual emergency."
Emergency Damages,Emergency Damages I,unambiguous_covered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,Agree.
Emergency Damages,Emergency Damages I,controversial,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.**

The policy covers damage caused when first responders force entry **because of an emergency or a perceived emergency** involving the policyholder. Here, Joanne reported what she believed to be a burglary, and the police forced entry to respond to that **perceived emergency**, even though it later turned out to be paranoia."
Emergency Damages,Emergency Damages II,unambiguous_uncovered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Disagree.** The policy covers damage caused when **first responders** force entry due to an emergency involving Salma. Here, the forced entry was made by **Sam (an accountant and Salma’s friend), not a first responder**, so the damage does not fall within the defined “Emergency Damages” coverage."
Emergency Damages,Emergency Damages II,unambiguous_covered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers **loss or damage to the contents** of the home caused by first responders forcing entry. Damage from a forced entry is typically to the **structure/door/lock**, which is not “contents,” so it would fall outside this “Emergency Damages” definition (even though the police entry was due to a real emergency involving Salma)."
Emergency Damages,Emergency Damages II,controversial,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

Although there was an emergency involving Salma (a burglary), the policy only covers damage caused when **“first responders”** force entry. Sam is an **off-duty firefighter acting as a private individual/friend**, not responding in an official first-responder capacity. That makes the forced entry unlikely to fall within the policy’s “Emergency Damages” definition. Final answer is: **Disagree**."
Escape of Oil,Escape of Oil I,unambiguous_uncovered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers “Escape of Oil” only when it involves oil leaking from a **fixed oil‑fired heating installation**. Madison’s loss came from **spilling kerosene she was carrying**, not a leak from a fixed heating system, so it doesn’t fall within the defined coverage."
Escape of Oil,Escape of Oil I,unambiguous_covered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.** The damage is covered because Madison’s loss resulted from **oil leaking from a fixed oil-fired heating installation**, which matches the policy’s definition of “Escape of Oil.”"
Escape of Oil,Escape of Oil I,controversial,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.** The damage resulted from oil escaping (leaking/rushing) from a **fixed oil‑fired heating installation**, which matches the policy’s definition of “Escape of Oil.”"
Escape of Oil,Escape of Oil II,unambiguous_uncovered,4,pos,ad,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. Select your response to the following statement: Mariam is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers “Escape of Oil” only when the oil leaks from a **fixed oil‑fired heating installation**. Mariam’s loss came from a **portable oil lamp**, which is not a fixed heating installation, so it falls outside the definition of covered “Escape of Oil.”"
