item name,Title,version,item,frame,order,prompt,model,output_text,reasoning_effort,reasoning_summary
Emergency Damages,Emergency Damages I,unambiguous_uncovered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry. Based on this definition, select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.**

The police forced entry **because of a perceived emergency involving Joanne** (based on her frantic call and the reported crashing noises), even though it later turned out there was no actual emergency. Under the definition, that fits “emergency or perceived emergency involving the policyholder,” so the resulting damage is covered as “Emergency Damages.”",low,
Emergency Damages,Emergency Damages I,unambiguous_covered,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. Based on this definition, select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.** Joanne’s situation fits the definition: first responders (police) **forced entry** because of an **emergency or perceived emergency involving Joanne** (a suspected—and actual—burglar in her home), and the claimed damage was **caused by that forced entry**. Final answer is: **Agree**.",low,
Emergency Damages,Emergency Damages I,controversial,1,pos,ad,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry. Based on this definition, select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.** The forced entry was made by first responders because of a **perceived emergency involving Joanne** (a suspected burglary), so the resulting damage fits the policy’s definition of “Emergency Damages.” Final answer is: **Agree**.",low,
Emergency Damages,Emergency Damages II,unambiguous_uncovered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Based on this definition, select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Disagree.**

The policy covers damage only when **first responders** force entry due to an emergency involving Salma. Sam is her friend (an accountant), not a first responder, so the forced-entry damage does not fall within the definition of “Emergency Damages.”",low,
Emergency Damages,Emergency Damages II,unambiguous_covered,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry. Based on this definition, select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Agree.** The police (first responders) forced entry due to an emergency involving Salma (a real burglar in her home), so the resulting damage fits the definition of “Emergency Damages.”",low,
Emergency Damages,Emergency Damages II,controversial,2,pos,ad,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Based on this definition, select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"**Disagree.**

Even though there was a real emergency (a burglar), the policy covers damage caused when **“first responders”** force entry. Sam was an **off-duty firefighter acting as a friend**, not responding in an official first-responder capacity (e.g., police/fire/EMS dispatched to the scene). Therefore, the forced-entry damage would likely **not** fall within the policy’s “Emergency Damages” definition.",low,
Escape of Oil,Escape of Oil I,unambiguous_uncovered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers “oil leaking from a fixed oil‑fired heating installation.” Madison’s damage came from spilling kerosene while carrying it through the kitchen, not from a leak from the fixed heating system, so it doesn’t fit the definition.",low,
Escape of Oil,Escape of Oil I,unambiguous_covered,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Agree.

Oil is leaking from a fixed oil-fired heating installation (her heater), which matches the policy’s definition of “Escape of Oil,” and the leak is causing damage to her floors.",low,
Escape of Oil,Escape of Oil I,controversial,3,pos,ad,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,Agree. Final answer is: **Agree**.,low,
Escape of Oil,Escape of Oil II,unambiguous_uncovered,4,pos,ad,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Mariam is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",gpt-5.2-2025-12-11,"Disagree.

The policy covers “oil leaking from a **fixed oil-fired heating installation**.” A **portable oil lamp** is neither fixed nor a heating installation, so the leak doesn’t fall within the definition of “Escape of Oil” as stated.",low,
