title,frame,prompt,order,version,item,output,output_text,cum_logprob,AGREE_probs,Agree_probs,agree_probs,DISAGREE_probs,Disagree_probs,disagree_probs,Agree - Disagree
Emergency Damages I,pos,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",ad,unambiguous_uncovered,1, Dis," Disagree. The policy covers damages caused by first responders when there is an ""emergency or perceived emergency involving the policyholder."" Here, there was no emergency or perceived emergency involving Joanne. She knew",,-4.714564253,-3.307528496,-8.221590996,-2.574156601,-0.229433998,-6.463778496,-3.078094498
Emergency Damages I,pos,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",ad,unambiguous_covered,1, Agree," Agree. The policy covers ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" In this",,-2.250757582,-0.734658837,-6.375283718,-2.970358027,-1.234719155,-7.172158718,0.500060318
Emergency Damages I,pos,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder."" Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Joanne is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",ad,controversial,1, Dis," Disagree. The policy covers damages caused by first responders' forced entry due to an ""emergency or perceived emergency involving the policyholder."" In this case, the perceived emergency was not involving Joanne, but rather her mistaken belief",,-3.526292039,-2.088037014,-7.322412014,-2.651707284,-0.384962021,-6.564599514,-1.703074993
Emergency Damages II,pos,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",ad,unambiguous_uncovered,2, Dis," Disagree. The policy only covers damages caused by ""first responders,"" which refers to emergency personnel such as police officers, firefighters, or paramedics. Sam, as an accountant, does not qualify as a first responder, and therefore the",,-4.294143089,-3.074715376,-7.879402637,-2.841574079,-0.246619284,-6.137215137,-2.828096092
Emergency Damages II,pos,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",ad,unambiguous_covered,2, Dis," Disagree. The Emergency Damages policy covers damages caused by first responders when there is an emergency involving the policyholder. In this case, the emergency involved a burglar, not Salma. The policy language does not cover situations where the policyholder is not",,-2.487241661,-0.971206129,-6.510268688,-3.081917975,-0.940013228,-6.979018688,-0.0311929
Emergency Damages II,pos,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder."" Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry. Select your response to the following statement: Salma is covered by the Emergency Damages policy. Agree or Disagree? Final answer is:",ad,controversial,2, Dis," Disagree. The policy covers damages caused by first responders forcing an entry into the policyholder's home because of an emergency involving the policyholder. In this case, the emergency was a burglary, not an emergency involving Salma",,-3.438464954,-2.297087431,-7.336149693,-2.891946245,-0.343999564,-6.406462193,-1.953087867
Escape of Oil I,pos,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",ad,unambiguous_uncovered,3, Dis," Disagree. Madison is not covered by the Escape of Oil policy because the oil spill was not caused by a leak from a fixed oil-fired heating installation. The policy specifically defines ""Escape of Oil"" as oil leaking from a fixed oil-fired heating installation, and Madison's accident does not meet this definition. The fact that",,-4.229516073,-2.992978096,-8.008603096,-2.52555493,-0.289862752,-5.672665596,-2.703115344
Escape of Oil I,pos,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",ad,unambiguous_covered,3, Agree," Agree. Madison's situation fits the definition of ""Escape of Oil"" under her insurance policy. The oil is leaking from a fixed oil-fired heating installation, which is exactly what the policy covers. Therefore, Madison should be covered by the Escape of Oil policy for the damage to her hardwood floors. The best answer is Agree",,-2.222975995,-0.596529007,-6.346529007,-3.473222069,-1.502944575,-6.893404007,0.906415568
Escape of Oil I,pos,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage. Select your response to the following statement: Madison is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",ad,controversial,3, Agree," Agree. Madison's insurance policy covers damage from the ""Escape of Oil,"" which is defined as oil leaking from a fixed oil-fired heating installation. In this scenario, the oil leaked from the fixed oil-fired heating installation in Madison's kitchen due to her friend's mistake while attempting to fix the heater. This situation directly falls",,-2.11342276,-0.737455249,-6.190580368,-3.332768057,-1.315711013,-6.495267868,0.578255764
Escape of Oil II,pos,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation."" Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage. Select your response to the following statement: Mariam is covered by the Escape of Oil policy. Agree or Disagree? Final answer is:",ad,unambiguous_uncovered,4, Dis, Disagree. The best answer is D.,,-5.326185035,-3.950029612,-8.762529373,-2.810309544,-0.184442743,-6.004716873,-3.765586869
