title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,yes_probs,YES_probs,No_probs,no_probs,NO_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
Joanne's insurance company, however, does cover the dogs' owners, who are not Joanne's neighbors. The insurance company also covers the dogs' owners' pets, which are not Joanne's pets.
Joanne's insurance company, however, does cover the dogs' owners' pets,",,-2.9283699989318848,-2.2408699989318848,-5.428369998931885,-2.2408699989318848,-1.9283698797225952,-4.740869998931885,-5.490869998931885,-8.553369522094727
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
Joanne's insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the ""perceived emergency"" caused by the forced entry.
The policyholder is not required to pay for",,-3.0512561798095703,-2.3012561798095703,-5.48875617980957,-2.2387561798095703,-1.9262560606002808,-4.80125617980957,-5.42625617980957,-8.55125617980957
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, no," no.
Joanne's insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the ""perceived emergency"" caused by the forced entry.
The policyholder is not required to pay for",,-3.0279765129089355,-2.2779765129089355,-5.4654765129089355,-2.2779765129089355,-1.965476393699646,-4.9029765129089355,-5.4029765129089355,-8.590476036071777
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder."" The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder.""
The insurance company's",,-3.1500611305236816,-2.0875611305236816,-5.587561130523682,-2.6500611305236816,-1.8375612497329712,-5.462561130523682,-5.525061130523682,-8.58756160736084
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The law does not require insurance companies to pay for the damage caused by forced entry. The law does require insurance companies to pay for the damage caused by forced entry, but only if the forced entry is ""reasonably foreseeable.""
The law does not require insurance companies to pay for the damage caused by forced",,-3.136399745941162,-2.136399745941162,-5.573899745941162,-2.573899745941162,-1.8863998651504517,-5.323899745941162,-5.511399745941162,-8.57390022277832
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, no," no.
The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder."" The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder.""
The insurance company's",,-3.154566764831543,-2.154566764831543,-5.654566764831543,-2.592066764831543,-1.842066764831543,-5.529566764831543,-5.529566764831543,-8.592066764831543
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Madison's insurance company, however, does cover her for the damage caused by the oil.
The insurance company's policy does not cover the damage caused by the oil leaking from the fixed oil-fired heating installation.
The insurance company's policy does not cover the damage caused by the oil leaking from",,-2.7774927616119385,-1.9649927616119385,-4.964992523193359,-2.5899927616119385,-2.0274927616119385,-5.402492523193359,-5.652492523193359,-8.58999252319336
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater. Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater.
Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater",,-2.7828493118286133,-2.0953493118286133,-4.907849311828613,-2.5328493118286133,-2.0328493118286133,-5.220349311828613,-5.720349311828613,-8.720349311828613
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
Madison's insurance company, however, does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood",,-2.837425708770752,-1.962425708770752,-4.774925708770752,-2.649925708770752,-1.962425708770752,-5.212425708770752,-5.837425708770752,-8.649925231933594
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Mariam's insurance company, however, does cover the damage caused by the oil lamp. The company's policy states that ""the owner of the oil lamp shall be responsible for the cost of repairing the oil lamp.""
Mariam's insurance company also covers the damage caused by the oil lamp. The",,-3.041497230529785,-1.9789973497390747,-4.978997230529785,-2.541497230529785,-1.9789973497390747,-4.791497230529785,-5.541497230529785,-8.603997230529785
